e_id,l_id,time
0,0,1313101800
0,0,1380234600
0,0,1276210800
0,0,1279233000
0,0,1287095400
0,0,1289518200
0,0,1291332600
0,0,1299799800
0,0,1305844200
0,0,1310077800
0,0,1348785000
0,0,1379025000
0,0,1381444200
0,0,1383867000
0,0,1385076600
0,0,1386286200
0,0,1387495800
0,0,1388705400
0,0,1389915000
0,0,1391124600
0,0,1392334200
0,0,1393543800
1,0,1211322600
1,0,1211927400
1,0,1214346600
1,0,1282689000
1,0,1285108200
1,0,1292369400
1,0,1297207800
2,0,1213655400
2,0,1283207400
2,0,1294702200
2,0,1329175800
3,1,1159486200
4,1,1161995400
5,2,1160524800
5,2,1232496900
5,2,1242775800
6,2,1208026800
6,2,1232827200
6,2,1234641600
6,2,1235851200
6,2,1238266800
6,2,1239476400
6,2,1240686000
6,2,1241895600
6,2,1243105200
6,2,1246129200
6,2,1249758000
6,2,1250967600
6,2,1253991600
6,2,1255201200
6,2,1256410800
6,2,1258228800
6,2,1259438400
6,2,1260648000
6,2,1263067200
6,2,1264276800
6,2,1270321200
6,2,1297540800
6,2,1308423600
7,2,1221174000
7,2,1224802800
7,2,1255648500
7,2,1264119300
7,2,1271376000
7,2,1275609600
8,2,1222124400
9,2,1229559300
9,2,1239231600
9,2,1293066000
10,2,1230508800
10,2,1267992000
10,2,1273431600
10,2,1275850800
10,2,1280689200
10,2,1283108400
10,2,1286132400
10,2,1289160000
10,2,1298836800
10,2,1302462000
10,2,1309719600
10,2,1316372400
10,2,1336330800
11,3,1161468000
12,3,1188345600
12,3,1188345600
13,4,1165969800
14,5,1163203200
15,6,1163894400
16,7,1165626000
16,7,1165626000
17,7,1178578800
17,7,1180998000
18,7,1181084400
19,7,1183075200
19,7,1170979200
19,7,1183071600
20,8,1165971600
20,8,1168995600
20,8,1174435200
20,8,1184716800
20,8,1187740800
20,8,1190160000
20,8,1192579200
20,8,1195606800
20,8,1198026000
20,8,1200445200
20,8,1203469200
20,8,1205884800
20,8,1208304000
20,8,1211328000
20,8,1213745400
20,8,1216166400
20,8,1219190400
20,8,1221004800
20,8,1221609600
20,8,1224028800
20,8,1224633600
20,8,1227056400
20,8,1227661200
20,8,1228266000
20,8,1236729600
20,8,1237334400
20,8,1240963200
20,8,1250035200
20,8,1250640000
20,8,1251244800
20,8,1251849600
20,8,1252454400
20,8,1253664000
20,8,1254268800
20,8,1254873600
20,8,1255478400
20,8,1256083200
20,8,1256688000
20,8,1257296400
20,8,1257901200
20,8,1259110800
20,8,1259715600
20,8,1260320400
20,8,1260925200
20,8,1261530000
20,8,1262134800
20,8,1263344400
20,8,1263949200
20,8,1264554000
20,8,1265158800
20,8,1265763600
20,8,1266368400
20,8,1266973200
20,8,1267578000
20,8,1267578000
20,8,1268182800
20,8,1268784000
20,8,1269388800
20,8,1269993600
20,8,1270598400
20,8,1271203200
20,8,1271808000
20,8,1272412800
20,8,1273017600
20,8,1274227200
20,8,1274832000
20,8,1275436800
20,8,1276041600
20,8,1276646400
20,8,1277251200
20,8,1277856000
20,8,1278460800
20,8,1279670400
20,8,1280275200
20,8,1280880000
20,8,1281484800
20,8,1282089600
20,8,1282694400
20,8,1283299200
20,8,1283904000
20,8,1284508800
20,8,1285113600
20,8,1285718400
20,8,1286323200
20,8,1286928000
20,8,1287532800
20,8,1288137600
20,8,1288742400
20,8,1289350800
20,8,1289955600
20,8,1290560400
20,8,1291165200
20,8,1291770000
20,8,1292374800
20,8,1292979600
20,8,1293584400
20,8,1294189200
