g_id,e_id
0,540
0,540
0,540
0,540
0,540
0,651
0,651
0,652
0,828
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,830
0,831
0,831
0,831
0,831
0,831
0,831
0,831
0,831
0,831
0,831
0,845
0,845
0,845
0,845
0,845
0,845
0,845
0,845
0,845
0,845
0,845
0,845
0,845
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1430
0,1431
0,1431
0,1431
0,1431
0,1432
0,1432
0,1433
0,1433
0,1433
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1435
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
0,1436
